,Radiant_team_id,Radiant_team_rating,Dire_team_id,Dire_team_rating,Radiant_hero1,Radiant_hero2,Radiant_hero3,Radiant_hero4,Radiant_hero5,Dire_hero1,Dire_hero2,Dire_hero3,Dire_hero4,Dire_hero5,Radiant_win,Radiant_fb,Radiant_10kill,start_time
414,3333433,1144.45,2701329,1087.32,79,108,25,93,34,102,74,54,16,101,False,False,False,1486004907
415,1966890,1093.09,2538753,1068.9,72,66,30,47,7,100,3,25,16,1,True,False,True,1452255995
416,2398232,1048.51,2789395,1088.66,5,74,38,100,1,58,13,30,72,41,False,False,True,1462347091
420,1375614,1360.51,350190,1338.47,6,50,91,47,2,55,107,30,12,21,True,True,True,1470351795
421,2767921,1000,2789395,1088.66,38,98,109,79,88,41,30,60,34,94,True,False,False,1467886569
423,350190,1338.47,1375614,1360.51,100,21,87,3,74,55,72,68,49,7,False,True,False,1447437119
424,2777247,1242.13,1883502,1568.6,38,26,60,13,67,74,107,111,55,93,True,True,True,1460794190
425,1520578,1094.09,3331948,1203.45,14,88,15,106,20,16,76,54,30,40,False,True,True,1479017424
426,3706823,1149.63,2061104,1000,28,97,95,52,57,20,8,23,65,34,True,False,True,1490004163
427,2643401,1083.38,4288603,1230.49,97,70,46,87,32,5,96,8,16,17,False,False,False,1494485835
429,1520578,1094.09,4997871,1036.45,51,11,112,98,18,19,77,64,76,101,True,True,False,1516435673
430,350190,1338.47,2586976,1351.81,103,41,79,48,34,55,8,50,2,22,True,True,True,1468452087
431,1836806,1208.81,726228,1396.74,5,95,50,104,88,28,54,37,65,11,False,False,False,1490004164
433,3326875,1269.74,2108395,1429.43,97,106,5,85,12,79,9,63,96,70,True,False,True,1485343797
435,2538753,1068.9,2006913,1291.81,76,66,16,57,44,6,9,30,69,28,False,True,False,1476461928
436,3322300,1000,24,1048.25,48,79,55,32,73,37,16,54,34,90,True,False,True,1478940664
439,2635099,1242.81,726228,1396.74,20,90,17,103,44,41,6,87,47,60,True,False,False,1468388206
441,2664588,1000,1271771,1189.57,110,11,3,16,15,74,100,8,64,66,False,True,False,1451200627
443,2828758,1063.11,3551256,1029.92,84,9,50,2,89,37,16,68,10,13,True,True,True,1479653592
444,5,1294.52,2626685,1210.14,2,30,74,8,88,107,54,87,65,17,False,False,True,1477754365
446,2659468,1165.6,2662139,1000,79,9,48,88,17,28,37,65,93,13,True,True,True,1482027536
447,1869482,1000,2276247,1109.13,71,111,30,15,42,20,65,18,86,16,False,False,False,1453148806
448,726228,1396.74,3331948,1203.45,28,54,25,86,55,88,109,102,46,20,True,True,True,1494410070
449,1964407,1000,2006913,1291.81,50,107,51,109,52,28,87,32,35,18,True,True,True,1486211210
450,5,1294.52,15,1511.43,65,84,48,50,76,87,54,55,17,62,True,False,True,1483531183
451,3,1287.81,39,1451.66,26,25,39,93,85,95,66,86,88,46,False,False,True,1427938133
452,5196328,1067.11,5195128,1000,3,11,65,20,78,16,27,15,8,29,True,False,False,1515546127
453,55,1140.79,2783913,1160.23,69,53,3,97,67,41,40,20,56,33,False,False,False,1462352205
455,2246141,1000,111474,1084.27,70,28,87,98,76,96,50,14,106,48,False,True,True,1489249525
457,350190,1338.47,2163,1452,72,16,30,58,98,91,19,3,44,40,False,False,True,1519553406
458,1375614,1360.51,1846548,1142.55,31,104,7,63,106,16,37,36,80,13,True,False,True,1501883136
460,4957062,1087.69,2061104,1000,51,68,63,107,22,112,97,13,48,87,True,True,True,1510822813
468,2586976,1351.81,39,1451.66,91,72,112,69,47,29,33,3,106,80,False,False,True,1454223873
469,36,1186.73,1883502,1568.6,16,66,111,63,98,91,65,30,44,49,False,True,True,1477238455
471,4186376,1153.14,464103,1131.39,83,97,49,54,37,88,64,74,40,104,False,False,False,1498644761
472,3325252,1000,15,1511.43,87,107,29,8,35,62,72,78,47,27,False,False,True,1521369805
473,3729377,1059.44,4425117,1073.52,88,39,33,26,1,91,15,87,13,61,True,False,False,1496347912
474,39,1451.66,2163,1452,11,50,72,7,85,100,55,68,42,46,True,True,True,1449808918
475,5039050,1180.83,1838315,1491.97,62,87,29,36,15,7,3,97,99,1,True,True,True,1511163922
476,5,1294.52,1272244,1000,41,111,103,98,65,107,55,87,49,70,False,False,True,1474467657
478,3262331,1066.55,2659468,1165.6,104,37,114,46,76,5,25,23,98,95,False,False,False,1494673012
480,2822317,1000,2640025,1232.58,103,93,26,55,94,54,28,98,30,38,False,True,False,1469010926
482,3763318,1055.43,543897,1523.46,16,86,55,74,93,107,106,20,108,8,False,False,False,1487156554
483,3624931,1000,3781533,1061.65,71,80,10,87,73,108,6,20,66,47,False,False,True,1486215799
484,726228,1396.74,484909,1124.5,72,30,11,61,87,12,26,78,62,60,True,False,True,1430744514
487,5051649,1125.96,5020794,1000,68,54,57,100,49,72,3,89,41,13,True,True,False,1521162906
488,36,1186.73,543897,1523.46,68,41,23,58,46,16,66,27,54,17,True,True,True,1516861080
